"id","movement_id","cue_text","order"
6631,216,Make sure your feet are elevated and resting on a flat surface.,1
6632,216,Now lift the shoulder in which your hand is touching your head.,2
6633,216,"Simply elevate your shoulder and body upward until you touch your knee. For example, if you have your right hand besides your head, then you want to elevate your body upwards until your right elbow touches your left knee. The same variation can be applied doing the inverse and using your left elbow to touch your right knee.",3
6634,216,"After your knee touches your elbow, lower your body until you have reached the starting position.",4
6635,216,Remember to breathe in during the eccentric (lowering) part of the exercise and to breathe out during the concentric (upward) part of the exercise.,5
6636,216,Continue alternating in this manner until all of the recommended repetitions for each side have been completed.,6
6637,217,Start out by lying on your right side with your legs lying on top of each other. Make sure your knees are bent a little bit.,0
6638,217,Place your left hand behind your head.,1
6639,217,"Once you are in this set position, begin by moving your left elbow up as you would perform a normal crunch except this time the main emphasis is on your obliques.",2
6640,217,"Crunch as high as you can, hold the contraction for a second and then slowly drop back down into the starting position.",3
6641,217,Remember to breathe in during the eccentric (lowering) part of the exercise and to breathe out during the concentric (elevation) part of the exercise.,4
6642,297,"To begin, stand straight with your feet shoulder width apart from each other. Place your hands on your hips. This is the starting position.",0
6643,297,Now slowly inhale as much air as possible and then start to exhale as much as possible while bringing your stomach in as much as possible and hold this position. Try to visualize your navel touching your backbone.,1
6644,297,"One isometric contraction is around 20 seconds. During the 20 second hold, try to breathe normally. Then inhale and bring your stomach back to the starting position.",2
6645,297,"Once you have practiced this exercise, try to perform this exercise for longer than 20 seconds. Tip: You can work your way up to 40-60 seconds.",3
6646,297,Repeat for the recommended amount of sets.,4
6647,299,"To begin, lie straight and face down on the floor or exercise mat. Your arms should be fully extended in front of you. This is the starting position.",0
6648,299,"Simultaneously raise your arms, legs, and chest off of the floor and hold this contraction for 2 seconds. Tip: Squeeze your lower back to get the best results from this exercise. Remember to exhale during this movement. Note: When holding the contracted position, you should look like superman when he is flying.",1
6649,299,"Slowly begin to lower your arms, legs and chest back down to the starting position while inhaling.",2
6650,299,Repeat for the recommended amount of repetitions prescribed in your program.,3
6651,305,"Begin in a seated, upright position. Start by extending your legs in front of you in a V.",0
6652,305,"With your hands on the floor, lean forward as far as possible. Hold for 10 to 20 seconds.",1
6653,309,"To begin, lie down on the floor or an exercise mat with your back pressed against the floor. Your arms should be lying across your sides with the palms facing down.",0
6654,309,Your legs should be touching each other. Slowly elevate your legs up in the air until they are almost perpendicular to the floor with a slight bend at the knees. Your feet should be parallel to the floor.,1
6655,309,Move your arms so that they are fully extended at a 45 degree angle from the floor. This is the starting position.,2
6656,309,"While keeping your lower back pressed against the floor, slowly lift your torso and use your hands to try and touch your toes. Remember to exhale while perform this part of the exercise.",3
6657,309,Slowly begin to lower your torso and arms back down to the starting position while inhaling. Remember to keep your arms straight out pointing towards your toes.,4
6658,309,Repeat for the recommended amount of repetitions.,5
6659,318,Lie on your back with your arms extended out to the sides and your legs straight. This will be your starting position.,0
6660,318,"Lift one leg and quickly cross it over your body, attempting to touch the ground near the opposite hand.",1
6661,318,"Return to the starting position, and repeat with the opposite leg. Continue to alternate for 10-20 repetitions.",2
6662,319,Start by standing straight with your feet being shoulder width apart from each other. Elevate your arms to the side of you until they are fully extended and parallel to the floor at a height that is evenly aligned with your shoulders. Tip: Your torso and arms should form the letter T: Your palms should be facing down. This is the starting position.,0
6789,85,"Extend as far as possible, then reverse the motion to return to the starting position.",2
6663,319,"Keeping your entire body stationary except for the wrists, begin to rotate both wrists forward in a circular motion. Tip: Pretend that you are trying to draw circles by using your hands as the brush. Breathe normally as you perform this exercise.",1
6664,319,Repeat for the recommended amount of repetitions.,2
6665,324,"Start off on your hands and knees, then lift your leg off the floor and hold the foot with your hand.",0
6666,324,"Use your hand to hold the foot or ankle, keeping the knee fully flexed, stretching the quadriceps and hip flexors.",1
6667,324,"Focus on extending your hips, thrusting them towards the floor. Hold for 10-20 seconds and then switch sides.",2
6668,330,Sit upright in a chair and grip the seat on the sides.,0
6669,330,"Raise one leg, extending the knee, flexing the ankle as you do so.",1
6670,330,"Slowly move that leg outward as far as you can, and then back to the center and down.",2
6671,330,Repeat for your other leg.,3
6672,332,"Sit on the edge of a chair, gripping the back of it.",0
6673,332,"Straighten your arms, keeping your back straight, and pull your upper body forward so you feel a stretch. Hold for 20-30 seconds.",1
6674,334,Stand with your feet shoulder width apart. This will be your starting position.,0
6675,334,"Keeping your arms straight, swing them straight up in front of you 5-10 times, increasing the range of motion each time until your arms are above your head.",1
6676,335,Stand up straight.,0
6677,335,"Place both hands on your lower back, fingers pointing downward and elbows out.",1
6678,335,Then gently pull your elbows back aiming to touch them together.,2
6679,339,"Lie on your back with your legs extended. Loop a belt, rope, or band around one of your feet, and swing that leg as far to the side as you can. This will be your starting position.",0
6680,339,"Pull gently on the belt to create tension in your groin and hamstring muscles. Hold for 10-20 seconds, and repeat on the other side.",1
6681,348,"Lie on a flat bench or step, and hang one leg and arm over the side.",0
6682,348,"Bend the knee and hold the top of the foot. As you do this, be careful not to arch your lower back.",1
6683,348,"Pull the belly button to the spine to stay in neutral. Press your foot down and into your hand. To add the hip stretch, lift the hip of the leg you're holding up toward the ceiling.",2
6684,348,Switch sides.,3
6685,349,"Start off by lying on your right side, with your right knee bent at a 90-degree angle resting on the floor in front of you (this stabilizes the torso).",0
6686,349,"Bend your left knee behind you and hold your left foot with your left hand. To stretch your hip flexor, press your left hip forward as you push your left foot back into your hand. Switch sides.",1
6687,358,"Sit upright on the floor with your legs bent, your partner standing behind you. Stick your arms straight out to your sides, with your palms facing the ground. Attempt to move them as far behind you as possible, as your assistant holds your wrists. This will be your starting position.",0
6688,358,"Keeping your elbows straight, attempt to move your arms to the front, with your partner gently restraining you to prevent any actual movement for 10-20 seconds.",1
6689,358,"Now, relax your muscles and allow your partner to gently increase the stretch on the shoulders and chest. Hold for 10 to 20 seconds.",2
6690,369,"While seated, bend forward to hug your thighs from underneath with both arms.",0
6691,369,Keep your knees together and your legs extended out as you bring your chest down to your knees. You can also stretch your middle back by pulling your back away from your knees as your hugging them.,1
6692,370,"Clasp fingers together with your thumbs pointing down, round your shoulders as you reach your hands forward.",0
6693,371,"This is a three-part stretch. Begin by lunging forward, with your front foot flat on the ground and on the toes of your back foot. With your knees bent, squat down until your knee is almost touching the ground. Keep your torso erect, and hold this position for 10-20 seconds.",0
6694,371,"Now, place the arm on the same side as your front leg on the ground, with the elbow next to the foot. Your other hand should be placed on the ground, parallel to your lead leg, to help support you during this portion of the stretch.",1
6695,371,"After 10-20 seconds, place your hands on either side of your front foot. Raise the toes of the front foot off of the ground, and straighten your leg. You may need to reposition your rear leg to do so. Hold for 10-20 seconds, and then repeat the entire sequence for the other side.",2
6696,235,"Place a kettlebell on the floor. Place yourself in a pushup position, on your toes with one hand on the ground and one hand holding the kettlebell, with your elbows extended. This will be your starting position.",0
6697,235,"Begin by lowering yourself as low as you can, keeping your back straight.",1
6698,235,"Quickly and forcefully reverse direction, pushing yourself up to the other side of the kettlebell, switching hands as you do so. Continue the movement by descending and repeating the movement back and forth.",2
6699,262,"Hold an end of the rope in each hand. Position the rope behind you on the ground. Raise your arms up and turn the rope over your head bringing it down in front of you. When it reaches the ground, jump over it. Find a good turning pace that can be maintained. Different speeds and techniques can be used to introduce variation.",0
6700,262,"Rope jumping is exciting, challenges your coordination, and requires a lot of energy. A 150 lb person will burn about 350 calories jumping rope for 30 minutes, compared to over 450 calories running.",1
6701,341,"Begin in a comfortable standing position with your knees slightly bent. Hold your hands in front of you, palms down with your fingertips together at chest height. This will be your starting position.",0
6702,341,"Rapidly dip down into a quarter squat and immediately explode upward. Drive the knees towards the chest, attempting to touch them to the palms of the hands.",1
6703,341,"Jump as high as you can, raising your knees up, and then ensure a good land be re-extending your legs, absorbing impact through be allowing the knees to rebend.",2
6704,152,"To begin, step onto the elliptical and select the desired option from the menu. Most ellipticals have a manual setting, or you can select a program to run. Typically, you can enter your age and weight to estimate the amount of calories burned during exercise. Elevation can be adjusted to change the intensity of the workout.",0
6705,152,The handles can be used to monitor your heart rate to help you stay at an appropriate intensity.,1
6706,180,"To begin, step onto the treadmill and select the desired option from the menu. Most treadmills have a manual setting, or you can select a program to run. Typically, you can enter your age and weight to estimate the amount of calories burned during exercise. Elevation can be adjusted to change the intensity of the workout.",0
6707,180,"Treadmills offer convenience, cardiovascular benefits, and usually have less impact than jogging outside. A 150 lb person will burn almost 250 calories jogging for 30 minutes, compared to more than 450 calories running. Maintain proper posture as you jog, and only hold onto the handles when necessary, such as when dismounting or checking your heart rate.",1
6708,289,"To begin, step onto the stairmaster and select the desired option from the menu. You can choose a manual setting, or you can select a program to run. Typically, you can enter your age and weight to estimate the amount of calories burned during exercise.",0
6709,289,"Pump your legs up and down in an established rhythm, driving the pedals down but not all the way to the floor. It is recommended that you maintain your grip on the handles so that you don fall. The handles can be used to monitor your heart rate to help you stay at an appropriate intensity.",1
7014,154,"Skip by executing a step-hop pattern of right-right-step to left-left-step, and so on, alternating back and forth.",1
6710,289,"Stairmasters offer convenience, cardiovascular benefits, and usually have less impact than running outside. They are typically much harder than other cardio equipment. A 150 lb person will typically burn over 300 calories in 30 minutes, compared to about 175 calories walking.",2
6711,296,"To begin, step onto the stepmill and select the desired option from the menu. You can choose a manual setting, or you can select a program to run. Typically, you can enter your age and weight to estimate the amount of calories burned during exercise. Use caution so that you don trip as you climb the stairs. It is recommended that you maintain your grip on the handles so that you don fall.",0
6712,296,"Stepmills offer convenience, cardiovascular benefits, and usually have less impact than running outside while offering a similar rate of calories burned. They are typically much harder than other cardio equipment. A 150 lb person will typically burn over 300 calories in 30 minutes, compared to about 175 calories walking.",1
6713,101,Lie flat on the floor on your back with the hands by your side and your knees bent. Your feet should be placed around shoulder width. This will be your starting position.,0
6714,101,"Pushing mainly with your heels, lift your hips off the floor while keeping your back straight. Breathe out as you perform this part of the motion and hold at the top for a second.",1
6715,101,Slowly go back to the starting position as you breathe in.,2
6716,103,Kneel below a high pulley that contains a rope attachment.,0
6717,103,Grasp cable rope attachment and lower the rope until your hands are placed next to your face.,1
6718,103,Flex your hips slightly and allow the weight to hyperextend the lower back. This will be your starting position.,2
6719,103,"With the hips stationary, flex the waist as you contract the abs so that the elbows travel towards the middle of the thighs. Exhale as you perform this portion of the movement and hold the contraction for a second.",3
6720,103,"Slowly return to the starting position as you inhale. Tip: Make sure that you keep constant tension on the abs throughout the movement. Also, do not choose a weight so heavy that the lower back handles the brunt of the work.",4
6721,103,Repeat for the recommended amount of repetitions.,5
6722,104,Move the cables to the bottom of the towers and select an appropriate weight. Stand directly in between the uprights.,0
6723,104,"To begin, squat down be flexing your hips and knees until you can reach the handles.",1
6724,104,"After grasping them, begin your ascent. Driving through your heels extend your hips and knees keeping your hands hanging at your side. Keep your head and chest up throughout the movement.",2
6725,104,"After reaching a full standing position, Return to the starting position and repeat.",3
6726,109,Connect an ankle strap attachment to a low pulley cable and position a mat on the floor in front of it.,0
6727,109,Sit down with your feet toward the pulley and attach the cable to your ankles.,1
6728,109,"Lie down, elevate your legs and bend your knees at a 90-degree angle. Your legs and the cable should be aligned. If not, adjust the pulley up or down until they are.",2
6729,109,"With your hands behind your head, bring your knees inward to your torso and elevate your hips off the floor.",3
6730,109,Pause for a moment and in a slow and controlled manner drop your hips and bring your legs back to the starting 90-degree angle. You should still have tension on your abs in the resting position.,4
6731,109,Repeat the same movement to failure.,5
6732,127,"With the weight loaded, take a zurcher hold on the end of the implement. Place the bar in the crook of the elbow and hold onto your wrist. Try to keep the weight off of the forearms.",0
6733,127,"Begin by lifting the weight from the ground. Keep a tight, upright posture as you being to walk, taking short, fast steps. Look up and away as you turn in a circle. Do not hold your breath during the event. Continue walking until you complete one or more complete turns.",1
6734,69,Lie on your back with your feet raised towards the ceiling.,0
6735,69,Have your partner hold your feet or ankles. Abduct your legs as far as you can. This will be your starting position.,1
6736,69,"Attempt to squeeze your legs together for 10 or more seconds, while your partner prevents you from doing so.",2
6737,69,"Now, relax the muscles in your legs as your partner pushes your feet apart, stretching as far as is comfortable for you. Be sure to let your partner know when the stretch is adequate to prevent overstretching or injury.",3
6738,67,Select a light resistance and sit down on the ab machine placing your feet under the pads provided and grabbing the top handles. Your arms should be bent at a 90 degree angle as you rest the triceps on the pads provided. This will be your starting position.,0
6739,67,"At the same time, begin to lift the legs up as you crunch your upper torso. Breathe out as you perform this movement. Tip: Be sure to use a slow and controlled motion. Concentrate on using your abs to move the weight while relaxing your legs and feet.",1
6740,67,"After a second pause, slowly return to the starting position as you breathe in.",2
6741,67,Repeat the movement for the prescribed amount of repetitions.,3
6742,70,Clean and press a kettlebell overhead with one arm.,0
6788,85,"Begin the movement by driving through with your heels, extending your hips vertically through the bar. Your weight should be supported by your upper back and the heels of your feet.",1
6743,70,"Keeping the kettlebell locked out at all times, push your butt out in the direction of the locked out kettlebell. Keep the non-working arm behind your back and turn your feet out at a forty-five degree angle from the arm with the kettlebell.",1
6744,70,Lower yourself as far as possible.,2
6745,70,Pause for a second and reverse the motion back to the starting position.,3
6746,71,"Lie flat on the floor with your lower back pressed to the ground. For this exercise, you will need to put your hands beside your head. Be careful however to not strain with the neck as you perform it. Now lift your shoulders into the crunch position.",0
6747,71,"Bring knees up to where they are perpendicular to the floor, with your lower legs parallel to the floor. This will be your starting position.",1
6748,71,"Now simultaneously, slowly go through a cycle pedal motion kicking forward with the right leg and bringing in the knee of the left leg. Bring your right elbow close to your left knee by crunching to the side, as you breathe out.",2
6749,71,Go back to the initial position as you breathe in.,3
6750,71,Crunch to the opposite side as you cycle your legs and bring closer your left elbow to your right knee and exhale.,4
6751,71,Continue alternating in this manner until all of the recommended repetitions for each side have been completed.,5
6752,73,Use a sturdy object like a squat rack to hold yourself.,0
6753,73,Lift the right leg in the air (just around 2 inches from the floor) and perform a circular motion with the big toe. Pretend that you are drawing a big circle with it. Tip: One circle equals 1 repetition. Breathe normally as you perform the movement.,1
6754,73,"When you are done with the right foot, then repeat with the left leg.",2
6755,77,"Lay down on a flat bench holding a dumbbell in each hand with the palms of the hands facing towards the ceiling. Tip: Your arms should be parallel to the floor and next to your thighs. To avoid injury, make sure that you keep your elbows slightly bent. This will be your starting position.",0
6756,77,Now move the dumbbells by creating a semi-circle as you displace them from the initial position to over the head. All of the movement should happen with the arms parallel to the floor at all times. Breathe in as you perform this portion of the movement.,1
6757,77,Reverse the movement to return the weight to the starting position as you exhale.,2
6758,78,"This trainer is effective for developing Atlas Stone strength for those who don't have access to stones, and are typically made from bar ends or heavy pipe.",0
6759,78,"Begin by loading the desired weight onto the bar. Straddle the weight, wrapping your arms around the implement, bending at the hips.",1
6760,78,"Begin by pulling the weight up past the knees, extending through the hips. As the weight clears the knees, it can be lapped by resting it on your thighs and sitting back, hugging it tightly to your chest.",2
6761,78,Finish the movement by extending through your hips and knees to raise the weight as high as possible. The weight can be returned to the lap or to the ground for successive repetitions.,3
6762,79,"Begin with the atlas stone between your feet. Bend at the hips to wrap your arms vertically around the Atlas Stone, attempting to get your fingers underneath the stone. Many stones will have a small flat portion on the bottom, which will make the stone easier to hold.",0
6763,79,"Pulling the stone into your torso, drive through the back half of your feet to pull the stone from the ground.",1
6764,79,"As the stone passes the knees, lap it by sitting backward, pulling the stone on top of your thighs.",2
6765,79,"Sit low, getting the stone high onto your chest as you change your grip to reach over the stone. Stand, driving through with your hips. Close distance to the loading platform, and lean back, extending the hips to get the stone as high as possible.",3
6766,74,"From a lying position, bend your knees and keep your feet on the floor.",0
6767,74,Place your ankle of one foot on your opposite knee.,1
6768,74,Grasp the thigh or knee of the bottom leg and pull both of your legs into the chest. Relax your neck and shoulders. Hold for 10-20 seconds and then switch sides.,2
6769,80,Run a band around a stationary post like that of a squat rack.,0
6770,80,Grab the band by the handles and stand back so that the tension in the band rises.,1
6771,80,Extend and lift the arms straight in front of you. Tip: Your arms should be straight and parallel to the floor while perpendicular to your torso. Your feet should be firmly planted on the floor spread at shoulder width. This will be your starting position.,2
6772,80,"As you exhale, move your arms to the sides and back. Keep your arms extended and parallel to the floor. Continue the movement until the arms are extended to your sides.",3
6773,80,"After a pause, go back to the original position as you inhale.",4
6774,80,Repeat for the recommended amount of repetitions.,5
6775,81,"Load a sled with the desired weight, attaching a rope or straps to the sled that you can hold onto.",0
6776,81,"Begin the exercise by moving backwards for a given distance. Leaning back, extend through the legs for short steps to move as quickly as possible.",1
6777,82,Place a balance board in front of you.,0
6778,82,Stand up on it and try to balance yourself.,1
6779,82,Hold the balance for as long as desired.,2
6780,83,Secure a band to the base of a rack or the bench. Lay on the bench so that the band is lined up with your head.,0
6781,83,"Take hold of the band, raising your elbows so that the upper arm is perpendicular to the floor. With the elbow flexed, the band should be above your head. This will be your starting position.",1
6782,83,"Extend through the elbow to straighten your arm, keeping your upper arm in place. Pause at the top of the motion, and return to the starting position.",2
6783,84,Hold the dumbbells and lay down on a flat bench in such a way that around 1/4 of your head is over the edge.,0
6784,84,Stretch your arms with the weights and bend them so that the dumbbells are lowered (make sure they don't touch each other).,1
6785,84,"Just before they touch your forehead, push them up.",2
6786,84,"Pay attention to your elbows and arms: only the triceps are doing the work, the rest of the arms should not move",3
6787,85,"Begin seated on the ground with a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise. Roll the bar so that it is directly above your hips, and lay down flat on the floor.",0
6790,86,Stand up straight with your feet at shoulder width as you hold a barbell with both hands in front of you using a pronated grip (palms facing the thighs). Tip: Your hands should be a little wider than shoulder width apart. You can use wrist wraps for this exercise for a better grip. This will be your starting position.,0
6791,86,Raise your shoulders up as far as you can go as you breathe out and hold the contraction for a second. Tip: Refrain from trying to lift the barbell by using your biceps.,1
6792,86,Slowly return to the starting position as you breathe in.,2
6793,86,Repeat for the recommended amount of repetitions.,3
6794,87,Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck) and stand upright behind an elevated platform (such as the one used for spotting behind a flat bench). This is your starting position.,0
6795,87,Place the right foot on the elevated platform. Step on the platform by extending the hip and the knee of your right leg. Use the heel mainly to lift the rest of your body up and place the foot of the left leg on the platform as well. Breathe out as you execute the force required to come up.,1
6796,87,Step down with the left leg by flexing the hip and knee of the right leg as you inhale. Return to the original standing position by placing the right foot of to next to the left foot on the initial position.,2
6797,87,Repeat with the right leg for the recommended amount of repetitions and then perform with the left leg.,3
6798,88,"For this exercise you will need a heavy rope anchored at its center 15-20 feet away. Standing in front of the rope, take an end in each hand with your arms extended at your side. This will be your starting position.",0
6799,88,Initiate the movement by rapidly raising one arm to shoulder level as quickly as you can.,1
6800,88,"As you let that arm drop to the starting position, raise the opposite side.",2
6801,88,"Continue alternating your left and right arms, whipping the ropes up and down as fast as you can.",3
6802,89,"Wearing either a harness or a loose weight belt, attach the chain to the back so that you will be facing away from the sled. Bend down so that your hands are on the ground. Your back should be flat and knees bent. This is your starting position.",0
6803,89,"Begin by driving with legs, alternating left and right. Use your hands to maintain balance and to help pull. Try to keep your back flat as you move over a given distance.",1
6804,90,Lie on a flat bench with a barbell using a shoulder grip width.,0
6805,90,Hold the bar straight over your chest with a bend in your arms. This will be your starting position.,1
6806,90,"While keeping your arms in the bent arm position, lower the weight slowly in an arc behind your head while breathing in until you feel a stretch on the chest.",2
6807,90,"At that point, bring the barbell back to the starting position using the arc through which the weight was lowered and exhale as you perform this movement.",3
6808,90,Hold the weight on the initial position for a second and repeat the motion for the prescribed number of repetitions.,4
6809,97,Initiate the exercise by standing upright with a kettlebell in one hand.,0
6810,97,Swing the kettlebell back forcefully and then reverse the motion forcefully. Crush the kettlebell handle as hard as possible and raise the kettlebell to your shoulder.,1
6811,95,Position two equally loaded EZ bars on the ground next to each other. Ensure they are able to roll.,0
6812,95,"Assume a push-up position over the bars, supporting your weight on your toes and hands with your arms extended and body straight.",1
6813,95,Place your hands on the bars. This will be your starting position.,2
6814,95,"Using a slow and controlled motion, move your hands away from the midline of your body, rolling the bars apart. Inhale during this portion of the motion.",3
6815,95,"After moving the bars as far apart as you can, return to the starting position by pulling them back together. Exhale as you perform this movement.",4
6816,96,"Connect a standard handle to each arm of a cable machine, and position them in the most downward position.",0
6817,96,Grab a Bosu Ball and position it in front and center of the cable machine.,1
6818,96,Lie down on the Bosu Ball with the small of your back arched around the ball. Your rear end should be close to the floor without touching it.,2
6819,96,"With both hands, reach back and grab the handle of each cable.",3
6820,96,"With your feet positioned in a wide stance, extend your arms straight out in front of you and in between your knees. Your hands should be at knee level.",4
6821,96,Keep your arms straight and in-line with the upward angle of the cable. Elevate your torso in a crunching motion without dropping or bending your arms.,5
6822,96,Maintain the rigid position with your arms. Slowly descend back to the starting position with your back arched around the Bosu Ball and your abdominals elongated.,6
6823,96,Repeat the same series of movements to failure.,7
6824,96,"Once you reach failure, keep your abs tight and raise your torso into plank position so your back is elevated off the Bosu Ball.",8
6825,96,Lower your arms down to your side; keep them straight. Start doing alternating side bends; reach for your heels! This finishing movement will focus on your obliques.,9
6826,99,Sit on a Military Press Bench with a bar at shoulder level with a pronated grip (palms facing forward). Tip: Your grip should be wider than shoulder width and it should create a 90-degree angle between the forearm and the upper arm as the barbell goes down. This is your starting position.,0
6827,99,"Once you pick up the barbell with the correct grip, lift the bar up over your head by locking your arms.",1
6828,99,Now lower the bar down to the back of the head slowly as you inhale.,2
6829,99,Lift the bar back up to the starting position as you exhale.,3
6830,99,Lower the bar down to the starting position slowly as you inhale. This is one repetition.,4
6831,99,Alternate in this manner until you complete the recommended amount of repetitions.,5
6832,98,"Lie on your side, with your upper arm against the foam roller. The upper arm should be more or less aligned with your body, with the outside of the bicep pressed against the foam roller.",0
6833,98,"Raise your hips off of the floor, supporting your weight on your arm and on your feet. Hold for 10-30 seconds, and then switch sides.",1
6834,93,"To begin, seat yourself on the bike and adjust the seat to your height.",0
6835,94,"To begin, seat yourself on the bike and adjust the seat to your height.",0
6836,94,"Select the desired option from the menu. You may have to start pedaling to turn it on. You can use the manual setting, or you can select a program to use. Typically, you can enter your age and weight to estimate the amount of calories burned during exercise. The level of resistance can be changed throughout the workout. The handles can be used to monitor your heart rate to help you stay at an appropriate intensity.",1
6837,225,Lie facedown on the floor.,0
6838,225,Put your left hand under your left hipbone to pad your hip and pubic bone.,1
6839,225,Bend your right knee so you can hold the foot in your right hand.,2
6840,225,"Lift the foot in the air and simultaneously lift your shoulders off the floor. This also stretches the right hip flexor and the chest and shoulders. Switch sides. If it doesn't bother your back, you can try it with both arms and legs at the same time.",3
6841,102,"To get yourself into the starting position, place the pulleys on a high position (above your head), select the resistance to be used and hold the pulleys in each hand.",0
6842,102,Step forward in front of an imaginary straight line between both pulleys while pulling your arms together in front of you. Your torso should have a small forward bend from the waist. This will be your starting position.,1
